strain,accession,originating_lab,submitting_lab,segment
A/Vermont/17/2016,EPI771371,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/17/2019,EPI1432264,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/18/2019,EPI1432256,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/19/2012,EPI412156,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/2/2008,EPI159845,?,Centers For Disease Control And Prevention,HA
A/Vermont/2/2009,EPI185925,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/2/2010,EPI302313,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/2/2011,EPI309520,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/2/2013,EPI440091,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/2/2016,EPI719191,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/20/2016,EPI771379,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/21/2009,EPI232626,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/21/2016,EPI771387,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/22/2009,EPI232629,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/22/2016,EPI775624,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/23/2016,EPI775616,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/25/2016,EPI775608,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/25/2019,EPI1618933,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/26/2016,EPI775632,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/27/2016,EPI814113,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/28/2012,EPI418418,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/28/2016,EPI775640,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/29/2016,EPI814121,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/3/2010,EPI302324,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/3/2014,EPI531754,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/30/2016,EPI775744,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/4/2012,EPI359085,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/4/2014,EPI537890,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/4/2015,EPI579588,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/5/2007,EPI125923,?,Centers For Disease Control And Prevention,HA
A/Vermont/5/2014,EPI537882,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/5/2015,EPI588792,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/6/2012,EPI367519,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/6/2015,EPI622250,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/6/2019,EPI1387189,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/7/2012,EPI371986,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/8/2011,EPI316221,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/9/2011,EPI319813,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/9/2014,EPI556556,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/9/2015,EPI671289,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/9/2019,EPI1387201,Vermont Department Of Health Laboratory,Centers For Disease Control And Prevention,HA
A/Vermont/UR06-0469/2007,EPI73928,?,Other Database Import,HA
A/Vermont/UR06-0471/2007,EPI70184,?,Other Database Import,HA
A/Vermont/UR06-0484/2007,EPI69956,?,Other Database Import,HA
A/Vermont/UR06-0486/2007,EPI70849,?,Other Database Import,HA
A/Vermont/UR06-0512/2007,EPI162469,?,Other Database Import,HA
A/Vermont/UR06-0524/2007,EPI69747,?,Other Database Import,HA
A/Vermont/VT-04VIR239-ORIGINAL/2003,EPI234952,?,Other Database Import,HA
A/Vermont/VT-04VIR253-ORIGINAL/2003,EPI234953,?,Other Database Import,HA
A/Vermont/VT-05VIR066/2004,EPI229353,?,Other Database Import,HA
A/Victoria/1/1999,EPI1886387,Csl Ltd,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/1003/2018,EPI1328348,Institute Of Medical And Veterinary Science (imvs),Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/101/2004,EPI1937974,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/101/2005,EPI1990127,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/1011/2015,EPI676101,Institute Of Medical And Veterinary Science (imvs),Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/1013/2015,EPI750812,Institute Of Medical And Veterinary Science (imvs),Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/102/2003,EPI1447605,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/1023/2010,EPI2120527,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/103/2002,EPI1926922,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/1031/2010,EPI2092447,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/1034/2010,EPI331440,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/105/2002,EPI1926924,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/108/2002,EPI1926925,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/111/2000,EPI1919438,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/113/2000,EPI1923105,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/118/2004,EPI1937976,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/120/2012,EPI434604,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/125/2004,EPI1937978,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/13/2012,EPI394090,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/13/2017,EPI1045585,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/146/2004,EPI117045,?,Other Database Import,HA
A/Victoria/146/2016,EPI893053,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/150/2016,EPI893062,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/162/2012,EPI434606,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/170/2006,EPI1990142,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/175/2012,EPI434607,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/180/2012,EPI629919,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/184/2012,EPI417300,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/191/2006,EPI1990145,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/199/2019,EPI1589956,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/2/1999,EPI1886388,Csl Ltd,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/2/2016,EPI956442,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/2018/2015,EPI652149,Alfred Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/203/2012,EPI434609,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/2038/2018,EPI1315816,Alfred Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/204/2019,EPI1589954,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/205/2019,EPI1589602,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/2078/2014,EPI551840,Austin Health,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/208/2006,EPI1990147,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/208/2009,EPI272062,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/2082/2014,EPI551843,Austin Health,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/209/2009,EPI606161,Victorian Infectious Diseases Reference Laboratory ,Other Database Import,HA
A/Victoria/210/2009,EPI269899,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/2103/2019,EPI1493011,Alfred Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/2118/2018,EPI1359087,Alfred Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/2120/2018,EPI1355334,Alfred Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/2131/2014,EPI551855,Austin Health,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/2139/2015,EPI750884,Alfred Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/2139/2018,EPI1359566,Alfred Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/2149/2018,EPI1359674,Alfred Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/223/2019,EPI1584570,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/228/2009,EPI210289,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/231/2008,EPI172357,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/232/2013,EPI526810,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/241/2002,EPI1926934,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/244/2009,EPI233045,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/245/2009,EPI269875,Who Collaborating Centre For Reference And Research On Influenza,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/248/2007,EPI153055,?,Other Database Import,HA
A/Victoria/2502/2015,EPI652508,Royal Melbourne Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/2515/2019,EPI1493127,Royal Melbourne Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/254/2002,EPI1926936,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/255/2002,EPI1926937,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/26/2011,EPI346273,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/26/2015,EPI675897,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/265/2014,EPI551758,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/267/2005,EPI117354,?,Other Database Import,HA
A/Victoria/27/2015,EPI675900,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/270/2005,EPI117352,?,Other Database Import,HA
A/Victoria/2765/2019,EPI1670073,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/29/2015,EPI675906,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/3/2012,EPI629937,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/301/2003,EPI1447616,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/302/1998,EPI1885167,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/302/2001,EPI1923108,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/302/2003,EPI1447618,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/302/2006,EPI1990151,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/303/2006,EPI123564,Royal Chidrens Hospital,Other Database Import,HA
A/Victoria/304/2006,EPI2020761,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/308/1998,EPI1885193,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/31/2015,EPI675912,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/314/1998,EPI1885199,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/315/1998,EPI1885212,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/316/1998,EPI1885210,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/318/1998,EPI1885202,Who Collaborating Centre For Reference And Research On Influenza,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/323/1998,EPI1885226,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/329/1999,EPI1886298,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/332/1999,EPI1886299,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/338/1999,EPI1886302,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/341/1999,EPI1886303,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/342/2012,EPI394167,Melbourne Pathology,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/343/1999,EPI1886389,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/344/1998,EPI1886390,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/346/1999,EPI1886304,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/358/1999,EPI1886391,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/361/2011,EPI2420071,Who Collaborating Centre For Reference And Research On Influenza,Centers For Disease Control And Prevention,HA
A/Victoria/362/2011,EPI357619,Melbourne Pathology,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/373/2007,EPI1445593,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/380/2007,EPI1445594,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/4/2010,EPI271988,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/4094/2014,EPI561852,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/432/2002,EPI1926940,Royal Chidrens Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/455/2015,EPI704175,Melbourne Pathology,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/469/2012,EPI417303,Disease Investigation Centre Wates (bbvw),Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/49/2016,EPI836663,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/5/2011,EPI346234,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/500/2001,EPI1923110,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/500/2004,EPI145401,?,Other Database Import,HA
A/Victoria/500/2007,EPI162500,?,Other Database Import,HA
A/Victoria/500/2009,EPI173254,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/500/2011,EPI302417,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/500/2013,EPI466112,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/501/2004,EPI1990167,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/502/1999,EPI1886392,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/502/2000,EPI1919440,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/502/2007,EPI1445595,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/502/2009,EPI176481,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/503/2005,EPI117205,Monash Medical Centre,Other Database Import,HA
A/Victoria/503/2006,EPI1990171,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/503/2007,EPI1445596,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/503/2014,EPI538544,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/504/2013,EPI526673,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/504/2016,EPI2055226,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/505/2009,EPI211719,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/505/2013,EPI526671,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/505/2015,EPI652182,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/506/2002,EPI1926941,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/506/2011,EPI331283,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/506/2013,EPI526675,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/507/1999,EPI1886307,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/507/2000,EPI1919441,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/5075/2014,EPI561861,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/5076/2014,EPI561864,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/508/2001,EPI1923112,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/508/2002,EPI1926943,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/508/2012,EPI379459,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/509/1998,EPI1885223,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/509/1999,EPI1886308,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/509/2000,EPI1919442,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/509/2001,EPI1923113,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/511/2004,EPI1868443,Royal Melbourne Hospital,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/511/2011,EPI346246,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/511/2015,EPI636288,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/512/2015,EPI652445,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/512/2017,EPI1045318,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/513/2004,EPI1937985,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/513/2015,EPI652448,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/515/2000,EPI1919444,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/515/2002,EPI1926945,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/515/2012,EPI379491,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/515/2015,EPI652433,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/516/1999,EPI1886311,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/516/2015,EPI652451,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/517/2015,EPI652454,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/518/2007,EPI1445599,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/519/2006,EPI123568,Monash Medical Centre,Other Database Import,HA
A/Victoria/519/2007,EPI1445956,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/519/2015,EPI652457,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/52/2016,EPI836666,Victorian Infectious Diseases Reference Laboratory ,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/520/2003,EPI1447622,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/520/2006,EPI123566,Monash Medical Centre,Other Database Import,HA
A/Victoria/520/2015,EPI652460,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/521/2000,EPI1919446,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/521/2007,EPI1445600,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/521/2015,EPI652742,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/522/1999,EPI1886314,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/522/2013,EPI491172,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/523/2000,EPI1919447,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/523/2001,EPI1923324,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/523/2004,EPI1937989,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/525/1998,EPI1885217,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/526/2003,EPI1447623,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/528/2011,EPI333049,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/528/2015,EPI652478,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/529/2011,EPI346228,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/530/2008,EPI172348,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/532/2000,EPI1919448,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/532/2003,EPI1447624,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/532/2015,EPI652484,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/536/1999,EPI1886315,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/537/1999,EPI1886316,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/538/1999,EPI1886317,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/538/2015,EPI652499,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/540/1998,EPI1885222,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/541/1998,EPI1885224,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/542/2008,EPI174799,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/544/1999,EPI1886318,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/544/2001,EPI1923115,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/544/2002,EPI1926946,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/546/1999,EPI1886319,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/546/2011,EPI346258,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/552/1999,EPI1886320,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/552/2010,EPI2079838,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/553/1999,EPI1886321,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/554/1998,EPI1885195,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/555/2011,EPI346287,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/556/1998,EPI1885203,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/557/2000,EPI1919458,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/559/1999,EPI1886324,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/559/2007,EPI1445601,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/561/1999,EPI1886325,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
A/Victoria/562/2002,EPI1926947,Monash Medical Centre,Who Collaborating Centre For Reference And Research On Influenza,HA
